<검색방법>
 종목코드 | A | B | C | D | E | F | G | H | I | 결과1 | 결과2 |
Search kospi: 
 code:900050 | X | X | X | X | X | X | X | X | X | ........ | ........ |
 code:000020 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000030 | X | X | O | X | X | O | X | X | X | ........ | ........ |
 code:000040 | X | X | X | X | X | X | X | X | X | ........ | ........ |
 code:000050 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000060 | X | X | O | O | O | X | X | X | X | ........ | ........ |
 code:000070 | X | O | O | X | X | X | X | X | X | ........ | ........ |
 code:000075 | X | O | O | X | X | X | X | X | X | ........ | ........ |
 code:000080 | X | X | O | X | X | O | X | X | X | ........ | ........ |
 code:000087 | X | X | O | O | O | X | X | X | X | ........ | ........ |
 code:000100 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000105 | X | O | O | X | X | X | X | X | X | ........ | ........ |
 code:000120 | X | X | O | O | O | O | X | X | X | ........ | ........ |
 code:000140 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000145 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000150 | X | O | O | X | X | X | X | X | X | ........ | ........ |
 code:000155 | X | O | O | O | O | X | X | X | X | ........ | ........ |
 code:000157 | O | O | O | O | O | X | X | X | X | ........ | ........ |
 code:000180 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000210 | X | X | O | O | O | O | X | X | X | ........ | ........ |
 code:000215 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000220 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000225 | X | O | O | X | X | X | X | X | X | ........ | ........ |
 code:000227 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000230 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000240 | X | O | O | X | X | X | X | X | X | ........ | ........ |
 code:000270 | X | X | O | X | X | O | X | X | X | ........ | ........ |
 code:000300 | O | X | X | X | X | X | X | X | X | ........ | ........ |
 code:000320 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000325 | O | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000327 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000370 | X | X | O | O | O | X | X | X | X | ........ | ........ |
 code:000390 | X | O | O | X | X | X | X | X | X | ........ | ........ |
 code:000400 | X | X | O | O | O | X | X | X | X | ........ | ........ |
 code:000430 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000480 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000490 | X | O | O | X | X | X | X | X | X | ........ | ........ |
 code:000500 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000520 | X | O | O | X | X | X | X | X | X | ........ | ........ |
 code:000540 | X | X | O | X | X | X | X | X | X | ........ | ........ |
 code:000545 | X | X | O | O | O | X | X | X | X | ........ | ........ |
 code:000547 | X | X | O | O | O | X | X | X | X | ........ | ........ |
