Search kospi: 
 code:001745 | X | X | O | X | X | X | X | X || ........ |
 code:001750 | X | X | O | O | O | O | O | O || ........ |
 code:001755 | X | X | O | O | X | X | O | O || ........ |
 code:001770 | X | X | O | X | X | X | X | X || ........ |
 code:001780 | X | X | X | O | O | O | O | O || ........ |
 code:001790 | X | O | O | O | X | X | O | X || ........ |
 code:001795 | X | X | O | O | O | O | O | O || ........ |
 code:001799 | X | X | O | X | O | O | O | O || ........ |
 code:001800 | O | X | X | O | X | X | O | O || ........ |
 code:001820 | X | X | X | O | X | O | O | O || ........ |
 code:001880 | X | O | X | O | O | O | O | O || ........ |
 code:001940 | X | X | O | X | X | O | O | O || ........ |
 code:002000 | X | X | X | O | O | O | X | O || ........ |
 code:002005 | X | X | O | X | O | O | O | X || ........ |
 code:002020 | O | X | O | O | X | X | X | X || ........ |
 code:002025 | X | X | O | O | X | X | X | X || ........ |
 code:002030 | X | X | O | O | X | X | O | O || ........ |
 code:002070 | X | X | O | O | O | O | O | O || ........ |
 code:002100 | X | X | X | X | O | O | O | O || ........ |
 code:002140 | O | O | O | X | X | X | X | X || ........ |
 code:002150 | X | X | O | X | X | O | O | O || ........ |
 code:002170 | X | X | O | O | O | O | O | X || ........ |
 code:002200 | X | X | X | O | O | O | O | O || ........ |
 code:002210 | X | X | X | O | O | O | O | O || ........ |
 code:002220 | X | X | X | O | X | O | O | O || ........ |
 code:002240 | X | X | X | O | O | O | O | O || ........ |
 code:002250 | X | X | O | X | O | O | O | O || ........ |
 code:002270 | X | X | O | O | X | X | O | O || ........ |
 code:002300 | X | X | O | O | X | X | X | X || ........ |
 code:002310 | X | X | X | O | O | O | O | X || ........ |
 code:002320 | X | O | X | O | O | O | O | O || ........ |
 code:002350 | X | X | O | X | X | X | O | X || ........ |
 code:002355 | X | X | O | O | X | X | O | X || ........ |
 code:002360 | X | X | X | X | O | O | O | O || ........ |
 code:002380 | O | O | X | O | O | O | O | O || ........ |
 code:002390 | X | X | X | O | X | O | O | O || ........ |
 code:002410 | X | O | X | O | X | X | X | X || ........ |
 code:002420 | X | X | X | O | X | O | O | O || ........ |
 code:002450 | X | X | X | O | O | O | O | O || ........ |
 code:002460 | X | X | X | O | O | O | O | O || ........ |
 code:002550 | O | O | O | O | O | O | O | X || ........ |
 code:002600 | X | X | O | X | O | O | O | X || ........ |
 code:002620 | X | X | O | X | O | O | O | O || ........ |
 code:002630 | X | X | X | O | O | O | O | O || ........ |
 code:002690 | X | O | O | X | O | O | O | O || ........ |
 code:002700 | X | X | O | O | X | O | O | O || ........ |
 code:002710 | X | X | O | O | O | O | O | O || ........ |
 code:002720 | X | X | O | X | O | O | O | O || ........ |
 code:002760 | X | X | X | X | O | O | O | O || ........ |
 code:002780 | X | X | O | X | O | O | O | O || ........ |
 code:002785 | X | O | O | O | O | X | X | X || ........ |
 code:002787 | X | X | O | O | O | O | X | X || ........ |
 code:002790 | O | X | O | O | X | X | O | O || ........ |
 code:002795 | X | X | O | O | O | O | O | O || ........ |
 code:002810 | X | X | X | O | O | O | O | O || ........ |
 code:002820 | X | X | O | O | O | O | O | O || ........ |
 code:002840 | X | X | X | O | O | O | O | O || ........ |
 code:002870 | X | O | O | X | O | O | O | O || ........ |
 code:002880 | X | X | X | O | O | O | O | O || ........ |
 code:002900 | O | X | X | X | O | O | O | O || ........ |
 code:002920 | X | X | X | O | X | O | O | O || ........ |
 code:002960 | X | X | O | O | X | X | O | O || ........ |
 code:002990 | X | X | X | O | O | O | O | O || ........ |
 code:002995 | X | X | X | X | O | O | O | O || ........ |
 code:003000 | X | X | X | X | O | O | O | O || ........ |
 code:003010 | X | X | X | O | O | O | O | O || ........ |
 code:003030 | X | O | O | O | X | X | O | O || ........ |
 code:003060 | O | X | O | X | X | X | X | O || ........ |
 code:003070 | X | X | X | O | O | O | O | O || ........ |
 code:003075 | X | X | X | X | O | O | O | O || ........ |
 code:003080 | X | X | O | X | X | X | X | X || ........ |
 code:003090 | X | X | O | O | X | O | O | O || ........ |
 code:003120 | X | O | O | O | X | X | O | O || ........ |
 code:003160 | X | O | X | X | O | O | O | O || ........ |
 code:003200 | X | O | X | O | X | X | O | O || ........ |
 code:003220 | X | X | O | O | X | O | O | O || ........ |
 code:003230 | O | X | X | X | X | X | X | O || ........ |
 code:003240 | X | X | X | O | X | X | O | O || ........ |
 code:003280 | O | X | O | X | O | O | X | O || ........ |
 code:003300 | X | X | O | O | O | O | O | O || ........ |
 code:003350 | X | X | X | X | O | O | O | O || ........ |
 code:003410 | X | X | O | O | O | O | O | O || ........ |
 code:003415 | X | O | O | O | X | O | O | O || ........ |
 code:003419 | X | X | X | X | O | O | O | O || ........ |
 code:003460 | X | X | X | X | O | O | O | O || ........ |
 code:003465 | X | X | O | X | O | O | O | O || ........ |
 code:003470 | X | X | X | X | O | O | O | O || ........ |
 code:003475 | X | X | X | O | O | O | O | O || ........ |
 code:003480 | X | X | O | O | X | X | O | O || ........ |
 code:003490 | O | X | X | O | O | O | O | X || ........ |
 code:003495 | X | X | O | O | O | O | O | O || ........ |
 code:003520 | O | X | O | X | O | O | O | O || ........ |
 code:003530 | X | X | O | X | O | O | O | O || ........ |
 code:003535 | X | X | O | O | O | O | O | O || ........ |
 code:003540 | X | X | O | O | X | O | O | O || ........ |
 code:003545 | X | O | X | O | O | O | O | O || ........ |
 code:003547 | X | X | X | O | X | O | O | O || ........ |
 code:003550 | O | X | O | O | X | X | O | O || ........ |
 code:003555 | X | X | O | O | O | O | O | O || ........ |
 code:003560 | X | X | X | X | O | O | O | O || ........ |
 code:003570 | X | X | O | O | X | O | O | O || ........ |
 code:003580 | X | X | X | O | O | O | O | O || ........ |
 code:003610 | X | X | O | O | O | O | O | O || ........ |
 code:003620 | X | X | O | O | X | O | O | O || ........ |
 code:003650 | X | X | X | O | O | O | O | O || ........ |
 code:003680 | X | X | X | X | O | O | O | O || ........ |
 code:003690 | X | X | X | O | O | O | O | O || ........ |
 code:003720 | X | X | O | O | O | O | O | O || ........ |
 code:003780 | X | X | X | O | X | X | O | X || ........ |
 code:003830 | X | O | O | O | X | X | X | X || ........ |
 code:003850 | X | X | O | O | O | O | O | O || ........ |
 code:003920 | X | X | X | O | X | X | O | O || ........ |
 code:003925 | X | X | X | O | O | O | O | X || ........ |
 code:003960 | X | X | X | X | O | O | O | O || ........ |
 code:004000 | X | X | O | O | X | O | O | O || ........ |
 code:004020 | O | X | X | O | O | O | O | O || ........ |
 code:004060 | O | O | X | X | O | O | O | O || ........ |
 code:004080 | X | X | O | O | O | O | O | O || ........ |
 code:004090 | X | O | O | X | O | O | O | X || ........ |
 code:004100 | X | X | X | X | O | O | O | O || ........ |
 code:004105 | X | X | O | X | O | O | X | O || ........ |
 code:004130 | X | X | X | O | X | X | O | O || ........ |
 code:004135 | X | X | X | O | O | O | O | O || ........ |
 code:004140 | X | X | X | X | O | O | O | O || ........ |
 code:004150 | X | X | X | O | O | O | O | O || ........ |
 code:004170 | X | X | O | X | O | O | O | O || ........ |
 code:004200 | X | O | X | O | O | O | O | O || ........ |
 code:004250 | X | X | O | O | X | X | X | X || ........ |
 code:004255 | X | X | X | O | X | X | X | X || ........ |
 code:004270 | X | X | X | O | O | O | O | O || ........ |
 code:004310 | X | X | X | O | O | O | O | O || ........ |
 code:004360 | X | X | X | O | O | O | O | O || ........ |
 code:004365 | X | X | X | X | O | O | O | O || ........ |
 code:004370 | O | X | O | O | X | X | O | O || ........ |
 code:004380 | X | X | X | O | O | O | O | O || ........ |
 code:004410 | X | X | X | O | O | O | O | O || ........ |
 code:004415 | X | O | O | X | X | X | X | X || ........ |
 code:004430 | X | X | X | O | O | O | O | O || ........ |
 code:004440 | X | O | O | O | X | O | O | O || ........ |
 code:004450 | X | X | O | X | O | O | O | O || ........ |
 code:004490 | X | X | O | X | X | O | O | O || ........ |
 code:004540 | X | X | X | O | O | O | O | O || ........ |
 code:004545 | X | X | O | X | O | O | O | O || ........ |
 code:004560 | X | X | O | X | X | O | O | O || ........ |
 code:004565 | X | O | O | O | O | X | X | X || ........ |
 code:004690 | X | X | X | X | O | O | O | O || ........ |
 code:004700 | X | X | X | O | O | O | O | O || ........ |
 code:004710 | X | X | X | O | O | O | O | O || ........ |
 code:004720 | O | O | O | X | X | X | O | X || ........ |
 code:004740 | X | X | O | X | O | O | O | O || ........ |
 code:004770 | O | X | O | X | X | O | O | O || ........ |
 code:004800 | O | X | X | O | X | X | O | O || ........ |
 code:004830 | X | X | X | X | O | O | O | O || ........ |
 code:004835 | X | X | X | O | O | O | O | O || ........ |
 code:004840 | X | X | X | X | O | O | O | O || ........ |
 code:004870 | X | X | X | O | O | O | O | O || ........ |
 code:004890 | X | O | X | O | O | O | O | O || ........ |
 code:004910 | X | X | O | X | O | O | O | X || ........ |
 code:004920 | X | X | X | X | O | O | O | O || ........ |
 code:004960 | X | X | X | X | O | O | O | O || ........ |
 code:004970 | X | X | O | X | O | O | O | O || ........ |
 code:004980 | X | X | X | O | X | X | O | O || ........ |
 code:004985 | X | X | X | O | X | O | O | O || ........ |
 code:004987 | X | X | O | O | X | O | O | O || ........ |
 code:004989 | X | X | O | O | X | X | O | O || ........ |
 code:004990 | X | O | X | O | O | O | O | O || ........ |
 code:005010 | X | O | O | X | O | O | O | O || ........ |
 code:005030 | O | O | O | O | X | X | X | X || ........ |
 code:005070 | X | X | O | X | O | O | O | X || ........ |
 code:005090 | X | X | X | O | O | O | O | O || ........ |
 code:005110 | X | X | X | O | O | O | O | O || ........ |
 code:005180 | X | O | O | X | X | X | O | O || ........ |
 code:005190 | X | X | X | O | O | O | O | O || ........ |
 code:005250 | X | X | X | X | O | O | O | O || ........ |
 code:005255 | X | X | O | O | O | O | O | O || ........ |
 code:005257 | X | X | X | O | O | O | O | O || ........ |
 code:005300 | X | X | O | O | X | X | O | O || ........ |
 code:005305 | X | X | O | X | X | X | O | O || ........ |
 code:005320 | X | X | O | X | O | O | O | O || ........ |
 code:005360 | X | X | X | O | O | O | O | O || ........ |
 code:005380 | O | O | X | O | O | O | O | X || ........ |
 code:005385 | X | X | X | X | O | O | O | O || ........ |
 code:005387 | O | X | X | X | O | O | O | O || ........ |
 code:005389 | X | X | X | X | O | O | O | O || ........ |
 code:005390 | X | X | X | X | X | O | O | O || ........ |
 code:005420 | X | X | O | O | O | O | O | O || ........ |
 code:005430 | X | O | O | O | X | O | O | O || ........ |
 code:005440 | X | O | O | O | X | O | O | O || ........ |
 code:005450 | X | X | O | X | O | O | X | O || ........ |
 code:005490 | O | O | O | O | X | O | O | O || ........ |
 code:005500 | X | X | O | O | O | O | X | X || ........ |
 code:005610 | X | X | O | O | X | X | O | O || ........ |
 code:005620 | X | O | X | O | O | O | O | O || ........ |
 code:005680 | X | X | X | O | X | O | O | O || ........ |
 code:005690 | X | X | X | X | O | O | O | O || ........ |
 code:005720 | X | X | X | O | O | O | O | O || ........ |
 code:005725 | X | X | X | O | X | X | O | O || ........ |
 code:005740 | X | O | X | O | X | O | O | O || ........ |
 code:005745 | X | O | X | O | O | O | O | O || ........ |
 code:005750 | X | X | X | X | O | O | O | O || ........ |
 code:005800 | X | O | O | O | X | X | O | X || ........ |
 code:005810 | X | O | O | X | O | O | O | X || ........ |
 code:005820 | X | X | X | O | O | O | O | O || ........ |
 code:005830 | O | O | O | O | O | O | O | X || ........ |
 code:005850 | X | X | X | O | O | O | O | O || ........ |
 code:005870 | X | X | O | O | O | O | O | O || ........ |
 code:005880 | X | X | O | O | O | O | O | O || ........ |
 code:005930 | O | O | X | X | O | O | X | X || ........ |
 code:005935 | O | O | X | O | O | O | X | X || ........ |
 code:005940 | O | O | O | O | O | O | O | O || ok_rslt0 |
 code:005945 | X | X | O | X | O | O | O | O || ........ |
 code:005950 | X | X | O | O | X | O | O | O || ........ |
 code:005960 | X | X | O | O | O | O | O | O || ........ |
 code:005965 | X | X | O | O | O | O | O | O || ........ |
 code:005980 | X | X | O | O | O | O | O | O || ........ |
 code:006040 | X | O | O | X | X | O | X | X || ........ |
 code:006060 | X | O | X | O | X | X | X | X || ........ |
 code:006090 | X | X | X | O | O | O | O | O || ........ |
 code:006110 | X | X | X | O | O | O | O | O || ........ |
 code:006120 | O | X | O | O | X | O | O | O || ........ |
 code:006125 | X | X | O | O | X | O | O | O || ........ |
 code:006200 | X | X | O | O | O | O | O | O || ........ |
 code:006220 | X | X | X | O | X | O | O | O || ........ |
 code:006260 | O | X | X | O | O | O | X | O || ........ |
 code:006280 | O | X | O | O | X | O | O | O || ........ |
 code:006340 | X | X | X | X | O | O | O | O || ........ |
 code:006345 | X | X | O | O | X | X | X | X || ........ |
 code:006360 | O | X | X | O | O | O | O | O || ........ |
 code:006370 | X | O | O | O | O | O | O | O || ........ |
 code:006380 | X | O | X | X | O | O | O | O || ........ |
 code:006390 | X | X | X | O | O | O | O | O || ........ |
 code:006400 | O | X | X | X | O | X | X | X || ........ |
 code:006405 | X | X | X | X | O | X | X | X || ........ |
 code:006490 | X | X | O | X | O | O | X | X || ........ |
 code:006570 | X | X | X | O | X | O | O | O || ........ |
 code:006650 | O | X | X | X | O | O | X | O || ........ |
 code:006660 | X | X | O | O | O | O | O | O || ........ |
 code:006740 | X | X | X | O | O | O | O | O || ........ |
 code:006800 | O | X | X | X | O | O | O | O || ........ |
 code:006805 | X | O | X | O | O | O | O | O || ........ |
 code:006840 | X | X | X | O | O | O | O | O || ........ |
 code:006880 | X | X | O | X | O | O | O | O || ........ |
 code:006890 | X | X | X | O | O | O | O | O || ........ |
 code:006980 | X | X | X | O | O | O | O | O || ........ |
 code:007070 | O | X | O | O | X | X | O | X || ........ |
 code:007110 | X | X | X | O | O | O | O | O || ........ |
 code:007120 | X | X | X | X | O | O | O | O || ........ |
 code:007160 | X | X | O | O | X | X | O | O || ........ |
 code:007190 | X | X | O | O | O | O | O | O || ........ |
 code:007197 | X | X | O | O | X | X | X | X || ........ |
 code:007210 | X | X | X | X | O | O | O | O || ........ |
 code:007280 | X | X | O | X | O | O | O | O || ........ |
 code:007310 | X | X | O | O | X | X | O | O || ........ |
 code:007340 | X | X | O | O | X | X | O | O || ........ |
 code:007460 | X | X | X | O | X | X | O | O || ........ |
 code:007540 | X | X | X | O | O | O | O | O || ........ |
 code:007570 | X | X | X | O | X | O | O | O || ........ |
 code:007575 | X | X | X | O | X | O | O | O || ........ |
 code:007590 | X | X | X | O | X | O | O | O || ........ |
 code:007610 | X | X | O | O | O | O | O | O || ........ |
 code:007630 | X | O | O | O | X | X | X | X || ........ |
 code:007660 | X | X | X | X | X | X | O | X || ........ |
 code:007690 | X | X | X | O | X | O | O | O || ........ |
 code:007700 | X | O | X | X | X | X | X | O || ........ |
 code:007810 | X | X | X | O | O | O | O | O || ........ |
 code:007815 | X | X | X | O | O | O | O | O || ........ |
 code:00781K | X | X | X | X | O | O | O | O || ........ |
 code:007860 | X | X | X | O | O | O | O | O || ........ |
 code:007980 | X | X | O | O | X | O | O | O || ........ |
 code:008000 | X | X | O | X | X | X | O | O || ........ |
 code:008040 | X | X | X | X | O | O | O | O || ........ |
 code:008060 | X | X | X | O | X | X | O | O || ........ |
 code:008110 | X | X | X | X | X | X | O | O || ........ |
 code:008250 | X | X | X | O | O | O | O | O || ........ |
 code:008260 | X | X | X | X | O | O | O | O || ........ |
 code:008350 | X | X | O | O | X | O | O | O || ........ |
 code:008355 | X | X | O | X | O | O | X | O || ........ |
 code:008420 | X | X | X | O | O | O | O | O || ........ |
 code:008490 | X | X | X | O | O | O | O | O || ........ |
 code:008500 | X | X | O | X | O | O | O | O || ........ |
 code:008560 | O | X | X | O | O | O | O | O || ........ |
 code:008600 | O | X | X | X | O | O | O | O || ........ |
