<검색방법>
 종목코드 | A | B | C | D | E | F | G | H | I | 결과1 | 결과2 |
Search kospi: 
 code:001420 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001430 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001440 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:001450 | X | X | O | O | O | O | X | X | 5 | ........ | ........ |
 code:001460 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001465 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001470 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001500 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001510 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:001515 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:001520 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001525 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001527 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001529 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001530 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001550 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001560 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001570 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001620 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001630 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001680 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001685 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001689 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001720 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001725 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001740 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001745 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001750 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001755 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001770 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001780 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001790 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001795 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:001799 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001800 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:001820 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001880 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:001940 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002000 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:002005 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002020 | O | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:002025 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002030 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002070 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002100 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002140 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:002150 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002170 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002200 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002210 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002220 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002240 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002250 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002270 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002300 | X | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:002310 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002320 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002350 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002355 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002360 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:002380 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:002390 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002410 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002420 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002450 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002460 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002550 | X | X | O | O | O | O | X | X | 5 | ........ | ........ |
 code:002600 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002620 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002630 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:002690 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002700 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:002710 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002720 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002760 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002780 | X | O | X | X | X | X | X | X | 5 | ........ | ........ |
 code:002785 | O | O | O | O | O | X | X | X | 5 | ........ | ........ |
 code:002787 | O | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002790 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:002795 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002810 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:002820 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
